Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.040

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-06-26, 10:40:34, OK, 49%, 0.00, -1, -42573, , 11.040, -42573, 48.7%, , , , , , , , , , , , 
2023-06-26, 10:41:05, OK, 48%, 2.15, 3720, -27710, , 11.203, -27710, 48.3%, , , , , , , , , , , , 
2023-06-26, 10:41:34, OK, 48%, 3.86, 6663, -25658, , 11.236, -25658, 48.0%, , , , , , , , , , , , 
2023-06-26, 10:42:04, OK, 48%, 3.86, 6663, -9912, , 11.380, -9912, 47.9%, , , , , , , , , , , , 
2023-06-26, 10:42:34, OK, 48%, 3.86, 6663, -11379, , 11.371, -11379, 47.8%, , , , , , , , , , , , 
2023-06-26, 10:43:05, OK, 48%, 3.86, 6663, -7678, , 11.409, -7678, 47.6%, , , , , , , , , , , , 
2023-06-26, 10:43:34, OK, 48%, 8.18, 14137, -6406, , 11.417, -6406, 47.6%, , , , , , , , , , , , 
2023-06-26, 10:44:05, OK, 48%, 8.18, 14137, -5959, , 11.438, -5959, 47.5%, , , , , , , , , , , , 
2023-06-26, 10:44:35, OK, 47%, 16.22, 27449, -5695, , 11.436, -5695, 47.4%, , , , , , , , , , , , 
2023-06-26, 10:45:05, OK, 47%, 16.22, 27449, -5134, , 11.447, -5134, 47.4%, , , , , , , , , , , , 
2023-06-26, 10:45:35, OK, 47%, 8.08, 13669, -15551, , 11.308, -15551, 47.3%, , , , , , , , , , , , 
2023-06-26, 10:46:05, OK, 47%, 18.22, 30829, -5168, , 11.444, -5168, 47.2%, , , , , , , , , , , , 
2023-06-26, 10:46:35, OK, 47%, 18.22, 30829, -4240, , 11.450, -4240, 47.1%, , , , , , , , , , , , 
2023-06-26, 10:47:05, OK, 47%, 18.22, 30829, -7334, , 11.429, -7334, 47.1%, , , , , , , , , , , , 
